hosp_id,address,latitude,longitude
PLIST000101,"Av. 14 Sur 4336, Zona Sin Asignación de Nombre de Col 50, Jardines de San Manuel, 72570 Puebla, Pue., Mexico",19.020647,-98.19879379999999
DFIMS000126,"Calz. del Hueso s/n, Coapa, Sta. Úrsula Coapa, Coyoacán, 04980 Ciudad de México, CDMX, Mexico",19.3076704,-99.1312131
PLSDN000155,"Sexto Andador, Villas Perisur, 72490 Puebla, Pue., Mexico",18.9845721,-98.24991519999999
JCSDN000010,"Calz. del Ejército 100, Reforma, 44890 Guadalajara, Jal., Mexico",20.6681773,-103.3330379
NTIST000120,"Av. Paseo de la Loma 107, Fray Junípero Serra, 63169 Tepic, Nay., Mexico",21.5020317,-104.8974966
NTSDN000034,"Nayarit, Mexico",21.7513844,-104.8454619
DFSDN000074,"Calle Alberto Santos Dumont s/n, Aviación Civil, Venustiano Carranza, 15740 Ciudad de México, CDMX, Mexico",19.4196089,-99.0755009
NTSSA015302,"Sin Referencia, 63173 Tepic, Nay., Mexico",21.4792683,-104.8474216
JCIMS000330,"Av. Revolución 2735, Jardines de la Paz, 44860 Guadalajara, Jal., Mexico",20.6447422,-103.3030164
JCIMS000342,"Av. Circunvalación Agustín Yáñez 1988, Moderna, 44190 Guadalajara, Jal., Mexico",20.664165,-103.367883
DFIMS000575,"Av. Cuauhtémoc 330, Doctores, Cuauhtémoc, 06720 Ciudad de México, CDMX, Mexico",19.408374,-99.1538989
DFIMS000616,"Av. Cuauhtémoc 330, Doctores, Cuauhtémoc, 06720 Ciudad de México, CDMX, Mexico",19.408374,-99.1538989
OCIST000112,"El Marqués, Oaxaca, Mexico",16.4759818,-95.4463322
GTSSA006495,"Av. Bicentenario 801, Janicho, 38900 Salvatierra, Gto., Mexico",20.2004036,-100.9073525
GTSSA001915,"Lomas del Pedregal, 38800 Moroleón, Gto., Mexico",20.138007,-101.2230871
GTSSA017414,"Blvd. Bicentenario 20, Las Trancas, 38737 Acámbaro, Gto., Mexico",20.0476324,-100.751068
OCIMO000550,"3 de Octubre S / N, Centro, 70800 Miahuatlán de Porfirio Díaz, Oax., Mexico",16.3365417,-96.5984783
OCSDN000031,"Internacional Sn, Las Flores Sur, 68000 Oaxaca de Juárez, Oax., Mexico",17.0696446,-96.7046695
MNIST000231,"Gral. Pueblita Sur 18, Poetas, 61503 Zitácuaro, Mich., Mexico",19.4312419,-100.3474903
BSIST000043,"Cuauhtémoc, Adán G. Velarde 98, Magisterial, 23920 Santa Rosalía, B.C.S., Mexico",27.3462454,-112.2742298
BSIMS000072,"San Luis Potosí, Loma Bonita, 23940 Guerrero Negro, B.C.S., Mexico",27.966468,-114.0494829
SLIST000015,"Blvd. Antonio Rosales, Jiquilpan, 81227 Los Mochis, Sin., Mexico",25.808664,-108.9888274
MCSSA007673,"Av. Independencia 5 Ote. # 1009, Col. Reforma and FFCCCP, Residencial Colón y Col Ciprés, 50070 Toluca de Lerdo, Méx., Mexico",19.2723608,-99.656982
NTSSA000474,"Av Hidalgo Pte 500, Santo Santiago, 63940 Ixtlán del Río, Nay., Mexico",21.0370907,-104.377975
MCIST000215,"Calle Robert Fulton 1601, Delegación Sta Ana Tlapaltitlán, 50160 Toluca de Lerdo, Méx., Mexico",19.2921462,-99.62318390000002
ASSSA000614,"Venustiano Carranza No 50, Industrial, 20678 Pabellón de Arteaga, Ags., Mexico",22.1497379,-102.2796115
PLSDN000143,"Plutarco Elías Calles 3302, Militar, Valle Sur, 74290 Atlixco, Pue., Mexico",18.8947518,-98.44720079999999
OCSSA020655,"Oaxaca, Mexico",17.0542297,-96.7132304
MCSME000921,"Av Baja Velocidad 284-Km. 57.5, San Jeronimo Chicahualco, 52170 Metepec, Méx., Mexico",19.2853115,-99.5858077
PLSSA008425,"Tlaxcalancingo, Puebla, Mexico",19.0171192,-98.2658264
PLSSA008881,"Blvrd del Niño Poblano 5307, Reserva Territorial Atlixcáyotl, Concepción la Cruz, 72190 San Andrés Cholula, Pue., Mexico",19.034704,-98.24439729999999
DFSSA018166,"Encinos 41, Miguel Hidalgo 4ta Secc, Tlalpan, 14250 Ciudad de México, CDMX, Mexico",19.2719016,-99.2078045
OCIMO000335,"5 de Febrero Nº 8, Heroica, Militar, 69000 Huajuapan de León, Oax., Mexico",17.8141886,-97.7896097
OCSSA007915,"Efraín R Gómez S/N, Cuarta Sección, 4ta., 70000 Juchitán de Zaragoza, Oax., Mexico",16.4336634,-95.01323839999999
VZIST000296,"Calle 5 de Mayo 33, Zapote Gordo, 92860 Túxpam de Rodríguez Cano, Ver., Mexico",20.9522601,-97.4186888
OCSSA016764,"Carretera Ixtepec A, Chihuitán Kilómetro 2.5, Raymundo Melendez, 70110 Ixtepec, Oax., Mexico",16.5585394,-95.1180886
DFSSA003961,"Calz. de Tlalpan 4800, Belisario Domínguez Secc 16, Tlalpan, 14080 Ciudad de México, CDMX, Mexico",19.2902851,-99.1608612
SPIST000096,"Zona Centro, 79610 Rioverde, San Luis Potosi, Mexico",21.9236531,-99.98778089999999
ASSSA000404,"Blvd. Rodolfo Landeros Gallegos 440, José Landeros, 20800 Calvillo, Ags., Mexico",21.848199,-102.7033105
OCSSA000524,"Venustiano Carranza 24-1a, Alta Vista de Juárez, 69005 Huajuapan de León, Oax., Mexico",17.8116971,-97.7726924
DFSSA004060,"Av. Insurgentes Sur 3877, La Fama, Tlalpan, 14269 Ciudad de México, CDMX, Mexico",19.2901555,-99.17558280000002
GRSMA000015,"Acapulco - Aeropuerto Acapulco 1018, Icacos, 39860 Acapulco de Juárez, Gro., Mexico",16.8406597,-99.8490661
DFSSA004043,"Av. San Fernando 22, Belisario Domínguez Secc 16, Tlalpan, 14080 Ciudad de México, CDMX, Mexico",19.2891043,-99.16038759999999
DFSSA004026,"Calz. de Tlalpan 4502, Belisario Domínguez Secc 16, Tlalpan, 14080 Ciudad de México, CDMX, Mexico",19.2921736,-99.15899929999999
GRSSA012535,"Calle del Chorrillo 20, El Chorrillo, Barrio del Chorrillo, 40238 Taxco, Gro., Mexico",18.5662219,-99.6051265
GTSSA017315,"Tecolutla s/n, Bellavista, 36730 Salamanca, Gto., Mexico",20.5817423,-101.1974743
GTIMS000330,"Calle Aldama 321, Centro, 36700 Salamanca, Gto., Mexico",20.5721097,-101.2015802
DFIST000160,"Calz. Ignacio Zaragoza 1840, Juan Escutia, Iztapalapa, 09100 Ciudad de México, CDMX, Mexico",19.3891205,-99.0451855
JCSSA008080,"Calle Guzmán 415, San José del Platanar, 49650 Tamazula de Gordiano, Jal., Mexico",19.6804345,-103.2493836
DFIMS000382,"Calle Ignacio Zaragoza, Chinam Pac de Juárez, Iztapalapa, 09208 Ciudad de México, CDMX, Mexico",19.3887187,-99.04103289999999
CMSSA000125,"Blvrd Camino Real, Hospital General esquina, El Porvenir II, 28019 Colima, Col., Mexico",19.2581408,-103.6898346
MCIMS000080,"Blvrd Coacalco 81, Villa de las Flores, 55710 San Francisco Coacalco, Méx., Mexico",19.637887,-99.0985209
MCIMS000232,"Xalostoc, Urbana Ixhuatepec, 55349 Ecatepec de Morelos, Méx., Mexico",19.5266066,-99.0820469
MCIMS000244,"Av. Central N/A, Olimpica, Cd y Puerto, 55130 Ecatepec de Morelos, Méx., Mexico",19.5289807,-99.0310542
ZSIMO000820,"Pinos, Zacatecas, Zacatecas, Mexico",22.2924536,-101.5783738
GRIMS000112,"Centro, 40000 Iguala de la Independencia, Gro., Mexico",18.3467487,-99.5303996
HGIMS000135,"Rubí NO. 3, Tizayuca, 43800 Tizayuca, Hgo., Mexico",19.8226551,-98.9808125
MCIMO000105,"CARRETERA CARRETERA TOLUCA AMANALCO Km 48.5, 51260 Méx., Mexico",19.2571065,-100.0113451
MCSSA007982,"Fray Gregorio Jiménez de La Cuenca, San Antonio, 51200 Valle de Bravo, Méx., Mexico",19.2031524,-100.1356471
NLSSA004046,"Av. Adolfo López Mateos 4600, Floridos Bosques del Nogalar, 66480 San Nicolás de los Garza, N.L., Mexico",25.7140788,-100.274372
DFSDN000050,"Av Constituyentes 240, Ampliación Daniel Garza, Daniel Garza al Poniente, Miguel Hidalgo, 11840 Ciudad de México, CDMX, Mexico",19.4120468,-99.19306630000001
DFIST000090,"Av Instituto Politécnico Nacional 1669, Revolución IMSS, Gustavo A. Madero, 07300 Ciudad de México, CDMX, Mexico",19.4866732,-99.1333104
DFIMS000230,"Calz. San Juan de Aragón 29, Casas Alemán, Gustavo A. Madero, 07580 Ciudad de México, CDMX, Mexico",19.4750442,-99.08906189999999
DFIMS000225,"Av. Insurgentes Nte. 1322, Magdalena de las Salinas, Gustavo A. Madero, 07760 Ciudad de México, CDMX, Mexico",19.4830089,-99.1291559
NTSSA002166,"Luis Figueroa 115, Centro, 63300 Santiago Ixcuintla, Nay., Mexico",21.8124673,-105.2090172
DGSSA000676,"Lasalle 2, Bellavista, 35050 Gómez Palacio, Dgo., Mexico",25.5601879,-103.5074639
NLSMP000023,"Av. Ignacio Morones Prieto 3000, Los Doctores, 64710 Monterrey, N.L., Mexico",25.6684449,-100.3515484
JCSMP000313,"Calz. Lázaro Cárdenas 4149, Jardín de San Ignacio, 45040 Zapopan, Jal., Mexico",20.6724967,-103.4091161
DFIST000534,"Lago Ontario 36, Tacuba, Miguel Hidalgo, 11410 Ciudad de México, CDMX, Mexico",19.4543785,-99.1913328
JCSDN000034,"Av. Industria Militar, Gral. Ildefonso Vázquez &, Militar, Miguel Hidalgo, 11200 Ciudad de México, CDMX, Mexico",19.4373309,-99.2158807
DFSDN000086,"Periférico Blvrd Manuel Ávila Camacho s/n, Militar, Miguel Hidalgo, 11200 Ciudad de México, CDMX, Mexico",19.4373709,-99.216054
VZIST000062,"Náhuatl 20, Fovissste, 96537 Coatzacoalcos, Ver., Mexico",18.1454847,-94.4847393
NLSMP001085,"Calle Ecuador No. 2331, Balcones de Galerías, 64620 Monterrey, N.L., Mexico",25.6846668,-100.3562807
NLIMS000373,"Obrera, Centro, 64010 Monterrey, N.L., Mexico",25.6700946,-100.2958158
DFIST000324,"Av. Revolución 1182, San José Insurgentes, Benito Juárez, 03900 Ciudad de México, CDMX, Mexico",19.3636024,-99.18860839999999
NLSDN000012,"Av. Manuel L. Barragán 5000, Niños Héroes, Regina, 64290 Monterrey, N.L., Mexico",25.7205593,-100.3131316
YNSSA000565,"Avenida Itzaes s/n x Av Centro Jacinto Canek, Centro, 97000 Mérida, Yuc., Mexico",20.9746488,-89.6416204
YNSSA013423,"C. 22, Col. Altabrisa, 97133 Mérida, Yuc., Mexico",21.020154,-89.58241439999999
MNIST000226,"Issste, 59688 Zamora de Hidalgo, Mich., Mexico",19.9730962,-102.2869849
MNIST000185,"Salustio Amezcua, Noria de Montes, 59099 Sahuayo de Morelos, Mich., Mexico",20.0507836,-102.7167417
CSSSA009483,"San Cristobal de las Casas, Chis., Mexico",16.7370359,-92.6376186
DFIMS000534,"Calle Gabriel Mancera 222, Col del Valle Nte, Benito Juárez, 03103 Ciudad de México, CDMX, Mexico",19.3956289,-99.16165339999999
MCIMS001171,"Av. Paseo de la Reforma 476, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",19.4237317,-99.17334559999999
DFSSA003722,"Cecilio Robelo S/N, El Parque, Venustiano Carranza, 15970 Ciudad de México, CDMX, Mexico",19.4241718,-99.1154142
GTIMS000185,"2, Irapuato, Gto., Mexico",20.6762505,-101.3751149
GTSSA001652,"Reverte Mexicano Guerrero No. 1959, Fracc, Viveros Revolucion, 36520 Irapuato, Gto., Mexico",20.6863236,-101.3577201
GTSDN000010,"Blvrd Paseo Solidaridad 5675, Sin Nombre, 36545 Irapuato, Gto., Mexico",20.6659435,-101.3288188
TSIST000071,"Cll Canales 103, Lázaro Cárdenas, 87410 Heroica Matamoros, Tamps., Mexico",25.8683932,-97.4929205
GTSSA001290,"Carr Xoconoxtle 750, 37800 Dolores Hidalgo Cuna de la Independencia Nacional, Gto., Mexico",21.1338965,-100.9326034
MCIST000425,"Calle Ciruelos 4, Lázaro Cárdenas, 54916 Tultitlán de Mariano Escobedo, Méx., Mexico",19.6288145,-99.163413
DFIMS000032,"Av. Reforma 6, Centro de Azcapotzalco, Azcapotzalco, 02000 Ciudad de México, CDMX, Mexico",19.4808166,-99.18770549999999
DFIMS000056,"Av. Paseo de la Reforma 476, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",19.4237317,-99.17334559999999
DFIMS000831,"Elpidio Cortez 300, San Pedro Xalpa, Azcapotzalco, 02750 Ciudad de México, CDMX, Mexico",19.4815348,-99.2131364
GTSSA001623,"20°21'24. 101°28'54., Av Sexta 3, Santa Cruz Meyehualco, México, Gto., Mexico",20.356844,-101.481747
DFPMX000012,"Campo Matillas 52, San Antonio, Azcapotzalco, 02720 Ciudad de México, CDMX, Mexico",19.479894,-99.200873
MNIST000202,"Uruapan del Progreso, 60134 Uruapan, Mich., Mexico",19.4129118,-102.0238152
MNIMO001796,"Av. 20 de Noviembre s/n, Villa Artesanal, 60250 Paracho de Verduzco, Mich., Mexico",19.6368759,-102.0540806
MCSSA018786,"Carr Federal México-Puebla Km. 34.5, Zoquiapan, 56530 Ixtapaluca, Méx., Mexico",19.3187976,-98.8553736
GTIST000091,"Calle Cholula 305, Azteca, 37520 León, Gto., Mexico",21.0984408,-101.6495742
HGIMS000164,"Calz Melchor Ocampo NO. 106, Centro, 42800 Tula de Allende, Hgo., Mexico",20.0538621,-99.3380414
GTSSA002101,"Paseo de La Presa 99, Barrio de la Presa, Guanajuato, Gto., Mexico",21.003324,-101.2437346
DFIMS000464,"Tizapán, Tizapán San Ángel, Progreso Tizapán, Álvaro Obregón, 01090 Ciudad de México, CDMX, Mexico",19.3369724,-99.20033439999999
DFIST000312,"Morelos, Venustiano Carranza, 15270 Mexico City, CDMX, Mexico",19.4421625,-99.11605449999999
MSIST000305,"Av. Domingo Diez S/N, Lomas de la Selva, 62270 Cuernavaca, Mor., Mexico",18.9358982,-99.2335442
PLIMS000043,"CARRETERA ATLIXCO, Metepec Centro, 74360 METEPEC, Pue., Mexico",18.931874,-98.4711241
PLSME000353,"Puebla, Mexico",19.0412894,-98.20620129999999
DFSSA018154,"Av. la Turba 655, Villa Centroamericana I, Tláhuac, 13250 Ciudad de México, CDMX, Mexico",19.2874486,-99.05270569999999
HGSSA018000,"La Villita, 43760 Hgo., Mexico",20.0613024,-98.44117229999999
DFIMS000814,"Calz. de las Bombas 117, Coapa, Girasoles I, Tlalpan, 14310 Ciudad de México, CDMX, Mexico",19.3091272,-99.1297306
DFIMS000312,"Añil 144, Granjas México, Iztacalco, 08400 Ciudad de México, CDMX, Mexico",19.4053733,-99.11287370000001
DFIMS000826,"Av. Tlahuac No 5662, Los Olivos, Tláhuac, 13360 Ciudad de México, CDMX, Mexico",19.3058833,-99.0597027
MCIMS000326,"Av Dr Gustavo Baz Sur 28, Naucalpan Centro, 53000 Naucalpan de Juárez, Méx., Mexico",19.4702108,-99.2341955
PLSSA015230,"Nuevo Laredo, Estación Nueva, 72200 Puebla, Pue., Mexico",19.0790159,-98.1847669
VZSDN000162,"Veracruz, Mexico",19.2601605,-96.57833869999999
MCSSA014143,"Avenida Licenciado Benito Juarez CARRETERA MÉXICO TULANCINGO, 55940 Axapusco, Méx., Mexico",19.7327812,-98.76944499999999
CLSSA002763,"Bulevar Centenario 901, Ejido Villa de Fuente, 26090 Piedras Negras, Coah., Mexico",28.6612235,-100.5406794
MSIMS000235,"Zacatepec de Hidalgo, Morelos, Mexico",18.6590633,-99.1954432
DFIMS000365,"Campaña del Ébano s/n, U.H. Vicente Guerrero, Iztapalapa, 09200 Ciudad de México, CDMX, Mexico",19.3575459,-99.0542583
TSIMS000276,"Calle Victoria &, Av. Reynosa N/A, Sector Centro, 88000 Nuevo Laredo, Tamps., Mexico",27.4966723,-99.50511859999999
VZSSA004744,"Calle 16 Ote., Laredo, 93260 Poza Rica de Hidalgo, Ver., Mexico",20.5299878,-97.459234
PLIMS000586,"Blvd. Municipio Libre, INFONAVIT la Margarita, Puebla, Pue., Mexico",19.0084155,-98.1827702
MNIST000120,"Trabajadores de Agricultura 285, Lomas de Santiaguito, 58120 Morelia, Mich., Mexico",19.7275321,-101.1808281
GRIST000153,"Heroico Colegio Militar 3, Centro, 40000 Iguala de la Independencia, Gro., Mexico",18.3409555,-99.52763139999999
GTSSA017344,"Cuitzeo De Los Naranjos 103, Peña Guisa, 36970 Abasolo, Gto., Mexico",20.4393186,-101.5469741
GRSSA010061,"De la Juventud SN-O, Vicente Guerrero, 40700 Coyuca de Catalán, Gro., Mexico",18.3346344,-100.7122989
DFSSA001540,"Reforma Aeronáutica 3018, Reforma Política, Iztapalapa, 09730 Iztapalapa, CDMX, Mexico",19.343323,-99.0273498
